x,sex,indicator,l,m,s,source
0.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,49.88420000,0.03795000,WHO2006
0.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,49.14770000,0.03790000,WHO2006
0.00000000,MALE,WEIGHT_FOR_AGE,0.34870000,3.34640000,0.14602000,WHO2006
0.00000000,FEMALE,WEIGHT_FOR_AGE,0.38090000,3.23220000,0.14171000,WHO2006
0.00000000,MALE,BMI_FOR_AGE,-0.30530000,13.40690000,0.09560000,WHO2006
0.00000000,FEMALE,BMI_FOR_AGE,-0.06310000,13.33630000,0.09272000,WHO2006
0.22997947,MALE,HEIGHT_FOR_AGE,1.00000000,51.11520000,0.03723000,WHO2006
0.22997947,FEMALE,HEIGHT_FOR_AGE,1.00000000,50.32980000,0.03742000,WHO2006
0.22997947,MALE,WEIGHT_FOR_AGE,0.27760000,3.48790000,0.14483000,WHO2006
0.22997947,FEMALE,WEIGHT_FOR_AGE,0.26710000,3.33880000,0.14600000,WHO2006
0.22997947,MALE,BMI_FOR_AGE,0.52470000,13.34210000,0.09821000,WHO2006
0.22997947,FEMALE,BMI_FOR_AGE,0.63190000,13.21130000,0.09887000,WHO2006
0.45995893,MALE,HEIGHT_FOR_AGE,1.00000000,52.34610000,0.03652000,WHO2006
0.45995893,FEMALE,HEIGHT_FOR_AGE,1.00000000,51.51200000,0.03694000,WHO2006
0.45995893,MALE,WEIGHT_FOR_AGE,0.25810000,3.75290000,0.14142000,WHO2006
0.45995893,FEMALE,WEIGHT_FOR_AGE,0.23040000,3.56930000,0.14339000,WHO2006
0.45995893,MALE,BMI_FOR_AGE,0.41770000,13.63770000,0.09454000,WHO2006
0.45995893,FEMALE,BMI_FOR_AGE,0.50820000,13.45010000,0.09741000,WHO2006
0.68993840,MALE,HEIGHT_FOR_AGE,1.00000000,53.39050000,0.03609000,WHO2006
0.68993840,FEMALE,HEIGHT_FOR_AGE,1.00000000,52.46950000,0.03669000,WHO2006
0.68993840,MALE,WEIGHT_FOR_AGE,0.24420000,4.06030000,0.13807000,WHO2006
