x,sex,mode,l,m,s
45.00,FEMALE,LENGTH,-0.38330000,2.46070000,0.09029000
45.50,FEMALE,LENGTH,-0.38330000,2.54570000,0.09033000
46.00,FEMALE,LENGTH,-0.38330000,2.63060000,0.09037000
46.50,FEMALE,LENGTH,-0.38330000,2.71550000,0.09040000
47.00,FEMALE,LENGTH,-0.38330000,2.80070000,0.09044000
47.50,FEMALE,LENGTH,-0.38330000,2.88670000,0.09048000
48.00,FEMALE,LENGTH,-0.38330000,2.97410000,0.09052000
48.50,FEMALE,LENGTH,-0.38330000,3.06360000,0.09056000
49.00,FEMALE,LENGTH,-0.38330000,3.15600000,0.09060000
49.50,FEMALE,LENGTH,-0.38330000,3.25200000,0.09064000
50.00,FEMALE,LENGTH,-0.38330000,3.35180000,0.09068000
50.50,FEMALE,LENGTH,-0.38330000,3.45570000,0.09072000
51.00,FEMALE,LENGTH,-0.38330000,3.56360000,0.09076000
51.50,FEMALE,LENGTH,-0.38330000,3.67540000,0.09080000
52.00,FEMALE,LENGTH,-0.38330000,3.79110000,0.09085000
52.50,FEMALE,LENGTH,-0.38330000,3.91050000,0.09089000
53.00,FEMALE,LENGTH,-0.38330000,4.03320000,0.09093000
53.50,FEMALE,LENGTH,-0.38330000,4.15910000,0.09098000
54.00,FEMALE,LENGTH,-0.38330000,4.28750000,0.09102000
54.50,FEMALE,LENGTH,-0.38330000,4.41790000,0.09106000
55.00,FEMALE,LENGTH,-0.38330000,4.54980000,0.09110000
55.50,FEMALE,LENGTH,-0.38330000,4.68270000,0.09114000
56.00,FEMALE,LENGTH,-0.38330000,4.81620000,0.09118000
56.50,FEMALE,LENGTH,-0.38330000,4.95000000,0.09121000
57.00,FEMALE,LENGTH,-0.38330000,5.08370000,0.09125000
57.50,FEMALE,LENGTH,-0.38330000,5.21730000,0.09128000
58.00,FEMALE,LENGTH,-0.38330000,5.35070000,0.09130000
58.50,FEMALE,LENGTH,-0.38330000,5.48340000,0.09132000
59.00,FEMALE,LENGTH,-0.38330000,5.61510000,0.09134000
59.50,FEMALE,LENGTH,-0.38330000,5.74540000,0.09135000
60.00,FEMALE,LENGTH,-0.38330000,5.87420000,0.09136000
60.50,FEMALE,LENGTH,-0.38330000,6.00140000,0.09137000
61.00,FEMALE,LENGTH,-0.38330000,6.12700000,0.09137000
61.50,FEMALE,LENGTH,-0.38330000,6.25110000,0.09136000
62.00,FEMALE,LENGTH,-0.38330000,6.37380000,0.09135000
62.50,FEMALE,LENGTH,-0.38330000,6.49480000,0.09133000
63.00,FEMALE,LENGTH,-0.38330000,6.61440000,0.09131000
63.50,FEMALE,LENGTH,-0.38330000,6.73280000,0.09129000
64.00,FEMALE,LENGTH,-0.38330000,6.85010000,0.09126000
64.50,FEMALE,LENGTH,-0.38330000,6.96620000,0.09123000
65.00,FEMALE,LENGTH,-0.38330000,7.08120000,0.09119000
65.50,FEMALE,LENGTH,-0.38330000,7.19500000,0.09115000
66.00,FEMALE,LENGTH,-0.38330000,7.30760000,0.09110000
66.50,FEMALE,LENGTH,-0.38330000,7.41890000,0.09106000
67.00,FEMALE,LENGTH,-0.38330000,7.52880000,0.09101000
67.50,FEMALE,LENGTH,-0.38330000,7.63750000,0.09096000
68.00,FEMALE,LENGTH,-0.38330000,7.74480000,0.09090000
68.50,FEMALE,LENGTH,-0.38330000,7.85090000,0.09085000
69.00,FEMALE,LENGTH,-0.38330000,7.95590000,0.09079000
69.50,FEMALE,LENGTH,-0.38330000,8.05990000,0.09074000
70.00,FEMALE,LENGTH,-0.38330000,8.16300000,0.09068000
70.50,FEMALE,LENGTH,-0.38330000,8.26510000,0.09062000
71.00,FEMALE,LENGTH,-0.38330000,8.36660000,0.09056000
71.50,FEMALE,LENGTH,-0.38330000,8.46760000,0.09050000
72.00,FEMALE,LENGTH,-0.38330000,8.56790000,0.09043000
72.50,FEMALE,LENGTH,-0.38330000,8.66740000,0.09037000
73.00,FEMALE,LENGTH,-0.38330000,8.76610000,0.09031000
73.50,FEMALE,LENGTH,-0.38330000,8.86380000,0.09025000
74.00,FEMALE,LENGTH,-0.38330000,8.96010000,0.09018000
74.50,FEMALE,LENGTH,-0.38330000,9.05520000,0.09012000
75.00,FEMALE,LENGTH,-0.38330000,9.14900000,0.09005000
75.50,FEMALE,LENGTH,-0.38330000,9.24180000,0.08999000
76.00,FEMALE,LENGTH,-0.38330000,9.33370000,0.08992000
76.50,FEMALE,LENGTH,-0.38330000,9.42520000,0.08985000
77.00,FEMALE,LENGTH,-0.38330000,9.51660000,0.08979000
77.50,FEMALE,LENGTH,-0.38330000,9.60860000,0.08972000
78.00,FEMALE,LENGTH,-0.38330000,9.70150000,0.08965000
78.50,FEMALE,LENGTH,-0.38330000,9.79570000,0.08959000
79.00,FEMALE,LENGTH,-0.38330000,9.89150000,0.08952000
79.50,FEMALE,LENGTH,-0.38330000,9.98920000,0.08946000
80.00,FEMALE,LENGTH,-0.38330000,10.08910000,0.08940000
80.50,FEMALE,LENGTH,-0.38330000,10.19160000,0.08934000
81.00,FEMALE,LENGTH,-0.38330000,10.29650000,0.08928000
81.50,FEMALE,LENGTH,-0.38330000,10.40410000,0.08923000
82.00,FEMALE,LENGTH,-0.38330000,10.51400000,0.08918000
82.50,FEMALE,LENGTH,-0.38330000,10.62630000,0.08914000
83.00,FEMALE,LENGTH,-0.38330000,10.74100000,0.08910000
83.50,FEMALE,LENGTH,-0.38330000,10.85780000,0.08906000
84.00,FEMALE,LENGTH,-0.38330000,10.97670000,0.08903000
84.50,FEMALE,LENGTH,-0.38330000,11.09740000,0.08900000
85.00,FEMALE,LENGTH,-0.38330000,11.21980000,0.08898000
85.50,FEMALE,LENGTH,-0.38330000,11.34350000,0.08897000
86.00,FEMALE,LENGTH,-0.38330000,11.46840000,0.08895000
86.50,FEMALE,LENGTH,-0.38330000,11.59400000,0.08895000
87.00,FEMALE,LENGTH,-0.38330000,11.72010000,0.08895000
87.50,FEMALE,LENGTH,-0.38330000,11.84610000,0.08895000
88.00,FEMALE,LENGTH,-0.38330000,11.97200000,0.08896000
